Year,Indicator_No,Indicator,Geographic_Cue,Reasoning_Evidence,Model,agreement_rate,kappa_w
2017,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.440414507772021,0.285569652292214
2017,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.481865284974093,0.294247964767116
2017,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.492227979274611,0.341503804479721
2017,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.476683937823834,0.255009465738942
2017,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.424870466321244,0.18619720323034
2017,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.352331606217617,0.127903165386776
2017,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.50259067357513,0.344113470651116
2017,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.352331606217617,0.235319509751021
2017,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.450777202072539,0.307944197123256
2017,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.49740932642487,0.288821669187405
2017,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.326424870466321,0.145623038941454
2017,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.347150259067358,0.20254246679437
2017,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.487046632124352,0.309866616214171
2017,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.409326424870466,0.265395751325677
2017,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.544041450777202,0.337629885021114
2017,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.38860103626943,0.198944351339922
2017,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.393782383419689,0.147004448552776
2017,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.518134715025907,0.183970684957249
2017,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.471502590673575,0.376395895924267
2017,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.393782383419689,0.199710076526312
2017,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.455958549222798,0.325194991483131
2017,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.424870466321244,0.250950266074501
2017,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.538860103626943,0.129058313286861
2017,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.507772020725389,0.218828256944849
2017,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.55440414507772,0.321557524376084
2017,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.466321243523316,0.173900950320637
2017,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.61139896373057,0.35872721285958
2017,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.772020725388601,0.574094974984418
2017,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.678756476683938,0.461577479076845
2017,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.590673575129534,0.366472748545614
2017,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.652849740932642,0.750288013328371
2017,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.766839378238342,0.759112204475155
2017,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.756476683937824,0.765700606993246
2017,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.808290155440414,0.77047056108774
2017,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.792746113989637,0.712813847921493
2017,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.740932642487047,0.617345997786795
2017,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.66839378238342,0.676081988287387
2017,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.590673575129534,0.583627699675209
2017,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.709844559585492,0.742177651508025
2017,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.766839378238342,0.774475435655134
2017,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.709844559585492,0.57039241677713
2017,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.512953367875648,0.362205055884148
2017,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.632124352331606,0.655410650520106
2017,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.590673575129534,0.645913029900851
2017,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.66839378238342,0.686389144819499
