Sheet,Lifeline,Indicator_No,Indicator,Geographic_Cue,Reasoning_Evidence,Model,agreement_rate,kappa_w,Lifeline_In_Main8
Communications,Communications,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.5,0.2,True
Communications,Communications,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.25,0.1,True
Communications,Communications,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.5,0.2,True
Communications,Communications,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.5,0.2,True
Communications,Communications,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.5,0.2,True
Communications,Communications,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.25,0.1,True
Communications,Communications,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.0,0.125,True
Communications,Communications,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.25,-0.125,True
Communications,Communications,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.25,0.1,True
Communications,Communications,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.5,0.0,True
Communications,Communications,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.25,0.1,True
Communications,Communications,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.0,0.0,True
Communications,Communications,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.5,0.2,True
Communications,Communications,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.5,0.2,True
Communications,Communications,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.25,-0.0909090909090908,True
Communications,Communications,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.5,0.0,True
Communications,Communications,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.0,0.125,True
Communications,Communications,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,1.0,,True
Communications,Communications,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.5,0.0,True
Communications,Communications,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.5,0.375,True
Communications,Communications,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.5,-0.0666666666666667,True
Communications,Communications,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.25,-0.125,True
Communications,Communications,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.5,0.0,True
Communications,Communications,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.25,0.1,True
Communications,Communications,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.5,0.375,True
Communications,Communications,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.5,0.555555555555556,True
Communications,Communications,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.5,0.2,True
Communications,Communications,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.75,0.5,True
Communications,Communications,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.5,0.285714285714286,True
Communications,Communications,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.25,0.0,True
Communications,Communications,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,1.0,1.0,True
Communications,Communications,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.75,0.75,True
Communications,Communications,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.5,0.555555555555556,True
Communications,Communications,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,1.0,1.0,True
Communications,Communications,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,1.0,1.0,True
Communications,Communications,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.75,0.75,True
Communications,Communications,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.75,0.5,True
Communications,Communications,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.5,0.0,True
Communications,Communications,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.75,0.5,True
Communications,Communications,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,1.0,1.0,True
Communications,Communications,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.75,0.111111111111111,True
Communications,Communications,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.5,0.428571428571429,True
Communications,Communications,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.5,0.2,True
Communications,Communications,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.75,-0.6,True
Communications,Communications,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.5,-0.333333333333333,True
Communications,Communications,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.75,0.5,True
Communications,Communications,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.5,0.0,True
Communications,Communications,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.75,0.0,True
Communications,Communications,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.5,0.636363636363636,True
Communications,Communications,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,1.0,1.0,True
Communications,Communications,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.75,0.8,True
Communications,Communications,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.75,0.833333333333333,True
Communications,Communications,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,1.0,1.0,True
Communications,Communications,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,1.0,1.0,True
